filename,category,split,filepath
esc50_1-9841-A-13.wav,animal_sound,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/animal_sound/esc50_1-9841-A-13.wav
M249_6 (95).wav,gunshot,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/gunshot/M249_6 (95).wav
scream_994.wav,panic_scream,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/panic_scream/scream_994.wav
IMI Desert Eagle_2 (86).wav,gunshot,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/gunshot/IMI Desert Eagle_2 (86).wav
scream_1366.wav,panic_scream,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/panic_scream/scream_1366.wav
machinery_us8k_real_364.wav,machinery_fault,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/machinery_fault/machinery_us8k_real_364.wav
aggression_real_actor_0562.wav,aggression,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/aggression/aggression_real_actor_0562.wav
scream_894.wav,panic_scream,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/panic_scream/scream_894.wav
help_srs_phrase_286.wav,person_asking_help,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/person_asking_help/help_srs_phrase_286.wav
aggression_real_actor_0780.wav,aggression,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/aggression/aggression_real_actor_0780.wav
M4_4 (61).wav,gunshot,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/gunshot/M4_4 (61).wav
urban_siren_22601-8-0-48.wav,alarm_siren,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/alarm_siren/urban_siren_22601-8-0-48.wav
MP5_8 (66).wav,gunshot,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/gunshot/MP5_8 (66).wav
glass_shatter_rec_181.wav,glass_breaking,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/glass_breaking/glass_shatter_rec_181.wav
esc50_2-75726-A-6.wav,animal_sound,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/animal_sound/esc50_2-75726-A-6.wav
scream_434.wav,panic_scream,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/panic_scream/scream_434.wav
glass_shatter_rec_367.wav,glass_breaking,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/glass_breaking/glass_shatter_rec_367.wav
bg_airplane_esc50_4-161103-A-47.wav,background_noise,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/background_noise/bg_airplane_esc50_4-161103-A-47.wav
help_srs_phrase_057.wav,person_asking_help,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/person_asking_help/help_srs_phrase_057.wav
IMI Desert Eagle_2 (80).wav,gunshot,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/gunshot/IMI Desert Eagle_2 (80).wav
glass_shatter_rec_043.wav,glass_breaking,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/glass_breaking/glass_shatter_rec_043.wav
scream_1546.wav,panic_scream,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/panic_scream/scream_1546.wav
aggression_real_actor_0286.wav,aggression,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/aggression/aggression_real_actor_0286.wav
scream_912.wav,panic_scream,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/panic_scream/scream_912.wav
urban_horn_199769-1-0-18.wav,vehicle_horn,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/vehicle_horn/urban_horn_199769-1-0-18.wav
scream_121.wav,panic_scream,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/panic_scream/scream_121.wav
aggression_real_actor_1149.wav,aggression,train,/content/drive/MyDrive/SonicSentinel_AI/dataset/aggression/aggression_real_actor_1149.wav
